"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada de albaricoque -Valle del Taibilla Azucar de Cana- 330g","3,00","2,21","6,63","3,50","10,50",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada de melocoton Azucar de cana -Valle del Taibilla- 330g","3,00","2,21","6,63","3,16","9,48",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Frambuesa Azucar de Cana-Valle del Taibilla -330g","5,00","2,38","11,90","3,80","19,00",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Frambuesa Sirope de Agave - Valle del Taibilla - 260 gr","7,00","2,38","16,66","3,52","24,64",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Fresa Azucar de Cana-Valle del Taibilla- 330g","9,00","2,28","20,52","3,60","32,40",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Fresa Sirope de Agave - Valle del Taibilla - 260 gr","7,00","2,28","15,96","3,60","25,20",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Frutos del Bosque Sirope de Agave - Valle del Taibilla - 260 gr","13,00","2,38","30,94","3,80","49,40",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Melocoton Sirope Agave- Valle del Taibilla- 260 gr","3,00","2,21","6,63","3,52","10,56",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Mora Azucar de Cana-Valle del Taibilla- 330g","7,00","2,38","16,66","3,80","26,60",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Mora Sirope de Agave - Valle del Taibilla - 260 gr","9,00","2,38","21,42","3,80","34,20",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Naranja Sirope de Agave - Valle del Taibilla - 260 gr","10,00","2,21","22,10","3,50","35,00",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Mermelada Tomate Sirope de Agave-Valle del Taibilla-260 g","4,00","2,21","8,84","3,52","14,08",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Nueces con cascara -Valle del Taibilla- malla 1 kilo","65,00","6,10","396,50","9,20","596,72",
"Valle del Taibilla - Agricola y Forestal del Nerpio SCCM","Nuez Pelada - Valle del Taibilla -  Envasado al Vacio 100gr","11,00","2,44","26,84","3,70","40,51",
,,,,"Total:650,73",,"Total:993,43",
"Vinagrerias Riojanas S.A.","Vinagre de Manzana  ""Riojavina"" 500ml","8,00","1,27","10,16","2,05","16,40",
"Vinagrerias Riojanas S.A.","Vinagre de Vino Tinto ""Riojavina"" 500ml","1,00","1,27","1,27","2,05","2,05",
"Vinagrerias Riojanas S.A.","Vinagre Vino Blanco ""Riojavina"" 500ml","4,00","1,27","5,08","2,05","8,20",
,,,,"Total:38 228,34",,"Total:62 730,99",
,,,,"Total:16,51",,"Total:26,65",
