"Products list"
"ref","description","Base imp.","IVA","Total",
"CACGRAN0001","Cacao soluble con Panela 400gr - El granero -","9.09","10.00","10.00",
"CACNAT0001","Menu de pollo para perro- Natuka- 500 gr","2.82","10.00","3.10",
"CACNAT0002","Menu de vaca para perro- Natuka- 500 gr","4.18","10.00","4.60",
"CACNAT0003","Menu de pollo y vaca  para perro- Natuka- 500 gr","3.50","10.00","3.85",
"CACNAT0004","Cuellos de pollo- Natuka- 300 gr","1.50","10.00","1.65",
"CACNAT0005","Higaditos de pollo- Natuka- 300 gr","1.50","10.00","1.65",
"CACNAT0006","Pollo en tacos -Natuka - 1 kilo","2.27","10.00","2.50",
"CACNAT0007","Grasa de pollo en tacos para perros- Natuka -1 Kg","1.59","10.00","1.75",
"CACNAT0008","Carne magra de vaca en tacos para perros -Natuka- 1 kilo","8.00","10.00","8.80",
"CACNAT0009","Tacos de corazon de pollo - Natuka- 500 gr","2.00","10.00","2.20",
"CACNAT0010","Hueso de vaca recreativo- Natuka - Unidad","1.73","10.00","1.90",
"CACNAT0011","Cuellos de pavo - Natuka- 600 gr","3.00","10.00","3.30",
"CACNAT0012","Pavo triturado en tacos - Natuka- 1 kilo","4.00","10.00","4.40",
"CACNAT0013","Grasa de pavo triturada en tacos para perros- Natuka -1 Kg","3.50","10.00","3.85",
"CACNAT0014","Cuellos de pollo para gatos- Natuka -300 g","1.45","10.00","1.60",
"CACNAT0015","Higado de Pollo para gatos- Natuka -300 g","1.45","10.00","1.60",
"CACNAT0016","Tacos de corazon de pollo para gatos- Natuka -500 g","1.59","10.00","1.75",
"CACNAT0017","Menu de gato- Natuka- 500 gr","4.00","10.00","4.40",
"CACNAT0018","Tacos de Verdura-Natuka- 1 kilo","3.64","10.00","4.00",
"CACNAT0019","Tacos Pollo Familiar- Natuka- 10 kilos","15.00","10.00","16.50",
"CACNAT0020","Tacos Pavo Familiar- Natuka - 10 kilos","22.73","10.00","25.00",
"CAFBIOG0001","Bio-bebida de cereales-Biogra-100g","4.27","10.00","4.70",
"CALMUJ0002","Calendario de las mujeres 2015","7.44","21.00","9.00",
"CARBIOB0001","Chuleta de lomo de cerdo - paq. 500 gr aprox- Biobardales - precio 500 gr","5.77","10.00","6.35",
"CARBIOB0002","Chuleta de aguja de Cerdo -paq. 500 gr aprox- Biobardales - precio 500 gr","4.86","10.00","5.35",
"CARBIOB0003","Magro trozos- paq. 500 gr aprox - Biobardales - precio 500 gr","6.91","10.00","7.60",
"CARBIOB0004","Filetes de jamon - paq. 500 gr aprox - Biobardales - precio 500 gr","7.95","10.00","8.75",
"CARBIOB0005","Solomillo de cerdo - paq. 500 gr aprox - Biobardales - precio 500 gr","10.64","10.00","11.70",
"CARBIOB0006","Costillas  -   paq. 500 gr aprox - Biobardales - precio 500 gr","4.82","10.00","5.30",
"CARBIOB0007","Oreja de cerdo - paq. 500 gr aprox - Biobardales - precio 500 gr","3.36","10.00","3.70",
"CARBIOB0008","Mano - paq. 500 gr aprox - Biobardales - precio 500 gr","3.36","10.00","3.70",
"CARBIOB0009","Rabo - paq. 500 gr aprox - Biobardales - precio 500 gr","3.36","10.00","3.70",
"CARBIOB0010","Panceta fresca - paq. 500 gr aprox - Biobardales - precio 500 gr","4.82","10.00","5.30",
"CARBIOB0011","Lomo de cerdo- paq. 500 gr aprox - Biobardales - precio 500 gr","10.09","10.00","11.10",
"CARBIOB0012","Codillo entero - paq. 1.500 Kg aprox - Biobardales - precio Kilo","12.36","10.00","13.60",
"CARBIOB0026","Presa - Biobardales - 500 gr","8.64","10.00","9.50",
"CARBIOB0027","Secreto - Biobardales - 500 gr","9.36","10.00","10.30",
"CARBRAM0001","Costillas con hueso (carne de 3ª)- 500 gr aprox- carnes Braman","5.09","10.00","5.60",
"CARBRAM0002","Redondo en pieza- 500 gr aprox- carnes Braman","7.73","10.00","8.50",
"CARBRAM0003","Cadera- filetes 500 gr aprox- carnes Braman","9.86","10.00","10.85",
"CARBRAM0004","Babilla- filetes 500 gr aprox- carnes Braman","8.82","10.00","9.70",
"CARBRAM0005","Solomillo- filetes 500 gr aprox- carnes Braman","26.41","10.00","29.05",
"CARBRAM0006","Lomo- filetes 500 gr aprox- carnes Braman","10.86","10.00","11.95",
"CARBRAM0007","Churrasco (carne de 3ª)- 500 gr aprox- carnes Braman","5.09","10.00","5.60",
"CARBRAM0008","Higado- 500 gr aprox- carnes Braman","6.41","10.00","7.05",
"CARBRAM0009","Filetes de 1ªb (tapa o espaldilla)- 500 gr aprox- carnes Braman","7.36","10.00","8.10",
"CARBRAM0011","Filetes de 2ª (aguja o contra)- 500 gr aprox- carnes Braman","6.41","10.00","7.05",
"CARBRAM0013","Carne en trozos guisar (carne de 2ª)- 500 gr aprox- carnes Braman","6.41","10.00","7.05",
"CARBRAM0014","Carne picada- 500 gr aprox- carnes Braman precio 500 gr","6.41","10.00","7.05",
